actual,proposed
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,15.911892890930176
0.0,17.224702835083008
0.0,18.442256927490234
0.0,19.61298179626465
0.0,20.7834415435791
0.0,21.908884048461914
0.0,22.99104118347168
0.0,24.03157615661621
0.0,25.121618270874023
0.0,26.08020782470703
0.0,26.912405014038086
0.0,27.757354736328125
0.0,28.569807052612305
0.0,29.351011276245117
0.0,30.1021671295166
0.0,30.779674530029297
0.0,31.38636016845703
0.0,31.92494773864746
0.0,32.44282150268555
0.0,32.89601135253906
0.0,33.33177185058594
0.0,33.70600891113281
0.0,34.021087646484375
0.0,34.32405090332031
0.0,34.615360260009766
0.0,34.94022750854492
0.0,35.252601623535156
0.0,35.55295944213867
0.0,35.79700469970703
0.0,36.07642364501953
0.0,36.345096588134766
0.0,36.60343933105469
0.0,36.85184097290039
0.0,37.09069061279297
0.0,37.32035446166992
0.0,37.496421813964844
0.0,37.66571807861328
