actual,proposed
0.0,0.1386948674917221
0.0,0.13533909618854523
0.0,0.13191010057926178
0.0,0.12839218974113464
0.0,0.12474749237298965
0.0,0.1210114136338234
0.0,0.1171812117099762
0.0,0.11332113295793533
0.0,0.10939978063106537
0.0,0.10544881224632263
0.0,0.10163083672523499
0.0,0.20000000298023224
0.0,0.1960931122303009
0.0,0.1929291933774948
0.0,0.18988776206970215
0.0,0.1868811398744583
0.0,0.18401142954826355
0.0,0.18122854828834534
0.0,0.17848798632621765
0.0,0.1758279800415039
0.0,0.17324301600456238
0.0,0.17075461149215698
0.0,0.16839872300624847
0.0,0.16620057821273804
0.0,0.1641273945569992
0.0,0.16212879121303558
0.0,0.16019797325134277
0.0,0.1583145707845688
0.0,0.1565195918083191
0.0,0.15476560592651367
0.0,0.15308329463005066
0.0,0.15143850445747375
0.0,0.14979000389575958
0.0,0.14814582467079163
0.0,0.146499365568161
0.0,0.14492292702198029
0.0,0.14337889850139618
0.0,0.1418609321117401
0.0,0.14032821357250214
0.0,0.13876357674598694
0.09990354627370834,0.13719971477985382
0.0964675024151802,0.20000000298023224
0.10171008110046387,0.20000000298023224
0.10679329186677933,0.20000000298023224
0.1073642298579216,0.20000000298023224
0.11220724880695343,0.20000000298023224
0.11254680156707764,0.20000000298023224
0.1171669065952301,0.20000000298023224
0.1172918826341629,0.20000000298023224
0.11734601855278015,0.20000000298023224
0.12169082462787628,0.20000000298023224
0.11719101667404175,0.20000000298023224
0.11269049346446991,0.20000000298023224
0.10382921248674393,0.20000000298023224
0.0993848368525505,0.20000000298023224
0.09493425488471985,0.20000000298023224
0.0861181765794754,0.1992165893316269
0.07735525071620941,0.19842319190502167
0.06864213943481445,0.19758771359920502
0.05561661347746849,0.19669564068317413
0.04269520938396454,0.19572678208351135
0.029871657490730286,0.19468185305595398
0.021500252187252045,0.19356225430965424
0.013155543245375156,0.19240586459636688
0.004835963249206543,0.1912059783935547
0.18126925826072693,0.18996810913085938
0.17852817475795746,0.20000000298023224
0.17804427444934845,0.20000000298023224
0.17546765506267548,0.20000000298023224
0.17300528287887573,0.20000000298023224
0.15865902602672577,0.20000000298023224
0.14754478633403778,0.20000000298023224
0.13648511469364166,0.20000000298023224
0.12547548115253448,0.20000000298023224
0.11015394330024719,0.20000000298023224
0.09057701379060745,0.20000000298023224
0.07987604290246964,0.20000000298023224
0.0648445338010788,0.20000000298023224
0.04553968459367752,0.20000000298023224
0.030735261738300323,0.20000000298023224
0.016003474593162537,0.20000000298023224
0.00569842429831624,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.19870270788669586
0.0,0.19614192843437195
0.0,0.1935831904411316
0.0,0.19099780917167664
0.0,0.18838422000408173
0.0,0.1857488602399826
0.0,0.18308335542678833
0.0,0.18045566976070404
0.0,0.17783166468143463
0.0,0.17526040971279144
0.0,0.17272472381591797
0.0,0.17030730843544006
0.0,0.16792768239974976
0.0,0.16551896929740906
0.0,0.1631365865468979
0.0,0.16090741753578186
0.0,0.15879401564598083
0.0,0.15669332444667816
0.0,0.15460874140262604
0.0,0.15250030159950256
0.0,0.15046945214271545
0.0,0.14848321676254272
0.0,0.1465013176202774
0.0,0.14459244906902313
0.0,0.14275270700454712
0.0,0.14094682037830353
0.0,0.13917161524295807
0.0,0.13742861151695251
0.0,0.13571439683437347
0.0,0.1339646875858307
0.0,0.13224366307258606
0.0,0.1305822730064392
0.0,0.12891380488872528
0.0,0.12726958096027374
0.0,0.12568247318267822
0.0,0.12414944916963577
0.0,0.12263531982898712
0.0,0.12114060670137405
0.0,0.11969507485628128
0.0,0.11826688051223755
0.0,0.11691692471504211
0.0,0.11561188846826553
0.0,0.11431693285703659
0.0,0.11306431889533997
0.0,0.11178763955831528
0.0,0.11051970720291138
0.0,0.10922757536172867
0.0,0.10791178792715073
0.0,0.10660538077354431
0.0,0.1053069606423378
0.0,0.10411461442708969
0.0,0.10295821726322174
0.0,0.10180473327636719
0.0,0.10071873664855957
